product_id,product_name,url
92278.0,Engagement Ring Anni,https://www.glamira.co.uk/glamira-ring-anni.html?stone3=diamond-Swarovsky&fbclid=IwAR3gGK4I-seRK7-D1pE2YLzhkjiHUo873HnMopLkVmEGOIMtessw0kxn1GA
95199.0,Engagement Ring Amanda 2.0crt,https://www.glamira.co.uk/glamira-ring-amanda-2.0crt.html?diamond=amethyst&alloy=white_red-585
92367.0,Engagement Ring Roselina 1.0 crt,https://www.glamira.co.uk/glamira-ring-roselina-1.0-crt.html?stone2=diamond-Swarovsky&alloy=white-silber&diamond=peridot&gclid=CjwKCAjwt-L2BRA_EiwAacX32dKfcmFs3nj2-xA8A2Y5wKOc40UKPxoLoLINB7f8vFncPJ_-DCqAJRoCAeAQAvD_BwE
96422.0,,https://www.glamira.com.tr/kadin-yuzuk-white-macig-5-mm.html?alloy=yellow_white-585&stone=diamond-Brillant&fbclid=IwAR2UyV0B_zdTl8x-BqiBGROWyOD_kPRzWwMRoC23V97n81-iSGp-tZSqiSI
101872.0,GLAMIRA Ring Mauriya,https://www.glamira.com.au/glamira-ring-mauriya.html?alloy=red_white-585
92370.0,Engagement Ring Sadie,https://www.glamira.ca/glamira-ring-sadie.html?diamond=diamond-sapphire&alloy=white-750&stone2=diamond-sapphire&stone3=diamond-sapphire
102107.0,Kinderarmband Fabiolita,https://www.glamira.de/glamira-bracelet-fabiolita.html?diamond=diamond-sapphire&alloy=white-375
96448.0,GLAMIRA Anello Sunita,https://www.glamira.it/glamira-ring-sunita.html?alloy=white_red-750&diamond=pinksapphire
92485.0,Women's Necklace Elsie,https://www.glamira.co.uk/glamira-pendant-elsie.html?alloy=red_white-585&diamond=diamond-Brillant&gclid=CjwKCAjwt-L2BRA_EiwAacX32QEw94og_SEuGDmeuB5Rj9xo-wOa0r2GI1yYEW3c0rORgmPwpJC2XhoC6q0QAvD_BwE
98262.0,Engagement Ring Bona,https://www.glamira.co.uk/glamira-ring-bona.html?alloy=yellow-750&diamond=kunzite
101994.0,,https://www.glamira.com.tr/glamira-ring-jenita.html?alloy=white-585&diamond=blackdiamond&stone2=diamond-Brillant
96459.0,Engagement Ring Cadence,https://www.glamira.com/glamira-ring-cadence.html?stone2=diamond-sapphire&diamond=diamond-Brillant&alloy=yellow-585
